idx, tickerID, time, open, high, low, close, volume, wap, count, green, median
259.0, 1000.0, 1538062805.0, 169.61, 169.62, 169.6, 169.62, 19.0, 169.6, 19.0, 1, 169.64
260.0, 1000.0, 1538062810.0, 169.62, 169.64, 169.62, 169.64, 14.0, 169.62, 5.0, 1, 169.64
261.0, 1000.0, 1538062815.0, 169.64, 169.65, 169.64, 169.65, 5.0, 169.64, 3.0, 1, 169.64
262.0, 1000.0, 1538062820.0, 169.66, 169.66, 169.65, 169.66, 6.0, 169.66, 6.0, 0, 169.64
263.0, 1000.0, 1538062825.0, 169.65, 169.65, 169.6, 169.61, 37.0, 169.61, 15.0, 0, 169.64
264.0, 1000.0, 1538062830.0, 169.62, 169.62, 169.62, 169.62, 9.0, 169.62, 8.0, 0, 169.64
265.0, 1000.0, 1538062835.0, 169.63, 169.64, 169.62, 169.64, 7.0, 169.63, 5.0, 1, 169.64
266.0, 1000.0, 1538062840.0, 169.65, 169.68, 169.65, 169.67, 25.0, 169.67, 9.0, 1, 169.64
267.0, 1000.0, 1538062845.0, 169.68, 169.68, 169.68, 169.68, 10.0, 169.68, 8.0, 0, 169.64
268.0, 1000.0, 1538062850.0, 169.69, 169.69, 169.67, 169.68, 3.0, 169.68, 3.0, 0, 169.64
269.0, 1000.0, 1538062855.0, 169.68, 169.68, 169.68, 169.68, 4.0, 169.68, 4.0, 0, 169.64
270.0, 1000.0, 1538062860.0, 169.68, 169.68, 169.66, 169.66, 7.0, 169.67, 7.0, 0, 169.71
271.0, 1000.0, 1538062865.0, 169.64, 169.64, 169.62, 169.63, 37.0, 169.63, 6.0, 0, 169.71
272.0, 1000.0, 1538062870.0, 169.63, 169.66, 169.63, 169.66, 9.0, 169.65, 9.0, 1, 169.71
273.0, 1000.0, 1538062875.0, 169.66, 169.66, 169.65, 169.65, 22.0, 169.66, 5.0, 0, 169.71
274.0, 1000.0, 1538062880.0, 169.66, 169.71, 169.65, 169.7, 21.0, 169.7, 6.0, 1, 169.71
275.0, 1000.0, 1538062885.0, 169.71, 169.74, 169.71, 169.74, 53.0, 169.72, 22.0, 1, 169.71
276.0, 1000.0, 1538062890.0, 169.72, 169.74, 169.72, 169.72, 5.0, 169.72, 5.0, 0, 169.71
277.0, 1000.0, 1538062895.0, 169.72, 169.75, 169.72, 169.75, 15.0, 169.73, 13.0, 1, 169.71
278.0, 1000.0, 1538062900.0, 169.74, 169.75, 169.73, 169.75, 23.0, 169.74, 9.0, 1, 169.71
279.0, 1000.0, 1538062905.0, 169.76, 169.76, 169.75, 169.75, 7.0, 169.75, 7.0, 0, 169.71
280.0, 1000.0, 1538062910.0, 169.75, 169.78, 169.74, 169.77, 30.0, 169.76, 12.0, 1, 169.71
281.0, 1000.0, 1538062915.0, 169.77, 169.78, 169.76, 169.77, 22.0, 169.76, 9.0, 0, 169.71
282.0, 1000.0, 1538062920.0, 169.78, 169.78, 169.73, 169.74, 53.0, 169.75, 22.0, 0, 169.8
283.0, 1000.0, 1538062925.0, 169.75, 169.77, 169.75, 169.76, 8.0, 169.76, 8.0, 1, 169.8
284.0, 1000.0, 1538062930.0, 169.77, 169.78, 169.75, 169.78, 6.0, 169.77, 6.0, 1, 169.8
285.0, 1000.0, 1538062935.0, 169.78, 169.78, 169.75, 169.77, 25.0, 169.76, 16.0, 0, 169.8
286.0, 1000.0, 1538062940.0, 169.78, 169.81, 169.77, 169.81, 58.0, 169.8, 48.0, 1, 169.8
287.0, 1000.0, 1538062945.0, 169.81, 169.81, 169.79, 169.79, 18.0, 169.81, 8.0, 0, 169.8
288.0, 1000.0, 1538062950.0, 169.79, 169.81, 169.78, 169.79, 49.0, 169.79, 28.0, 0, 169.8
289.0, 1000.0, 1538062955.0, 169.79, 169.81, 169.77, 169.8, 110.0, 169.79, 68.0, 1, 169.8
290.0, 1000.0, 1538062960.0, 169.8, 169.81, 169.79, 169.8, 37.0, 169.8, 26.0, 0, 169.8
291.0, 1000.0, 1538062965.0, 169.81, 169.84, 169.8, 169.83, 93.0, 169.82, 51.0, 1, 169.8
292.0, 1000.0, 1538062970.0, 169.84, 169.87, 169.84, 169.87, 72.0, 169.85, 35.0, 1, 169.8
293.0, 1000.0, 1538062975.0, 169.86, 169.88, 169.85, 169.87, 21.0, 169.86, 12.0, 1, 169.8
294.0, 1000.0, 1538062980.0, 169.86, 169.9, 169.86, 169.9, 46.0, 169.87, 13.0, 1, 169.93
295.0, 1000.0, 1538062985.0, 169.9, 169.92, 169.89, 169.91, 30.0, 169.92, 14.0, 1, 169.93
296.0, 1000.0, 1538062990.0, 169.91, 169.92, 169.88, 169.92, 73.0, 169.9, 46.0, 1, 169.93
297.0, 1000.0, 1538062995.0, 169.92, 169.95, 169.92, 169.93, 45.0, 169.93, 10.0, 1, 169.93
298.0, 1000.0, 1538063000.0, 169.93, 169.95, 169.92, 169.94, 136.0, 169.93, 38.0, 1, 169.93
299.0, 1000.0, 1538063005.0, 169.93, 169.96, 169.93, 169.94, 26.0, 169.94, 17.0, 1, 169.93
